OID_,ONS_ID,ONS_Name,ONS_Region,Shape_Leng,Shape_Area,Type
123,3001,AIRPORT,OTTAWA,31833.9907,40165441.41,suburban 
73,3002,ALTA VISTA,OTTAWA,13320.35492,7714248.022,urban
115,3003,BAYSHORE,OTTAWA,8519.823184,4169378.761,urban
88,3004,BEACON HILL SOUTH - CARDINAL HEIGHTS,OTTAWA,10417.38343,4621340.861,urban
113,3005,BEAVERBROOK,OTTAWA,10625.73383,6077673.98,suburban 
158,3006,BEECHWOOD CEMETERY,OTTAWA,5311.572158,1345425.498,urban
100,3007,BELLS CORNERS EAST,OTTAWA,11742.88184,7126101.46,suburban 
124,3008,BELLS CORNERS WEST,OTTAWA,7013.242272,2436127.682,suburban 
144,3009,BILLINGS BRIDGE - HERON PARK,OTTAWA,12096.84829,5362342.517,urban
27,3010,BLACKBURN HAMLET,OTTAWA,13054.88911,6510823.612,suburban 
54,3011,BLOSSOM PARK - TIMBERMILL,OTTAWA,12350.28124,9134764.081,suburban 
24,3012,BORDEN FARM - FISHER GLEN,OTTAWA,13258.33459,5915350.822,urban
135,3013,BRAEMAR PARK-BELAIR HEIGHTS-COPELAND PARK,OTTAWA,11110.76311,6463450.49,urban
127,3014,BRIDLEWOOD - EMERALD MEADOWS,OTTAWA,14960.2744,13199596.85,suburban 
133,3015,BRITANNIA,OTTAWA,14312.63209,5677444.33,urban
47,3016,BROOKSIDE - BRIARBROOK - MORGANS GRANT,OTTAWA,24562.70078,21357146.46,suburban 
152,3017,CARDINAL CREEK,OTTAWA,19392.23948,19928004.45,suburban 
103,3018,CARLETON HEIGHTS-COURTLAND PARK,OTTAWA,11870.20852,6204337.632,urban
44,3019,CARLETON UNIVERSITY,OTTAWA,7384.742228,1895362.418,urban
91,3020,CARLINGTON,OTTAWA,12916.60961,7364854.645,urban
101,3021,CARP,OTTAWA,94703.75725,290278076,rural
16,3022,CARSON GROVE - CARSON MEADOWS,OTTAWA,11421.60929,8216027.582,urban
99,3023,CENTREPOINTE - BRIARGREEN,OTTAWA,10326.84684,6091605.257,urban
32,3024,CENTRETOWN,OTTAWA,12280.5109,7601595.328,urban
42,3025,CHAPEL HILL NORTH,OTTAWA,12377.49336,8260034.327,suburban 
110,3026,CHAPEL HILL SOUTH,OTTAWA,23475.13673,23889434.12,suburban 
64,3027,CHAPMAN MILLS,OTTAWA,12208.17132,6613665.929,suburban 
107,3028,CITY VIEW,OTTAWA,9449.888211,5080644.492,urban
108,3029,CIVIC HOSPITAL,OTTAWA,7910.337719,3068579.306,urban
14,3030,COLONNADE BUSINESS PARK,OTTAWA,14554.53163,9304080.052,suburban 
76,3031,CONSTANCE BAY,OTTAWA,27708.65482,28786917.45,rural
48,3032,CONVENT GLEN - ORLEANS WOODS,OTTAWA,15881.11875,11876971.26,suburban 
132,3033,CORKERY,OTTAWA,70442.76178,281430232.2,rural
151,3034,CRAIG HENRY - MANORDALE,OTTAWA,10164.00357,5895817.247,urban
17,3035,CRESTVIEW-TANGLEWOOD,OTTAWA,11081.61661,7483155.678,urban
116,3036,CRYSTAL BAY - LAKEVIEW PARK,OTTAWA,25307.51316,11488902.87,suburban 
153,3037,CUMBERLAND,OTTAWA,49738.68806,131799429.4,rural
61,3038,DUNROBIN,OTTAWA,82305.55999,278458161.2,rural
9,3039,EDWARDS - CARLSBAD SPRINGS,OTTAWA,82565.18398,274502052.2,rural
11,3040,ELMVALE - CANTERBURY,OTTAWA,9352.862576,5426031.542,urban
10,3041,EMERALD WOODS - SAWMILL CREEK,OTTAWA,8535.573238,3843689.654,suburban 
55,3042,EXPERIMENTAL FARM,OTTAWA,14830.07182,9210664.835,urban
57,3043,FALLINGBROOK,OTTAWA,14898.18721,11788688.59,suburban 
117,3044,FINDLAY CREEK,OTTAWA,27678.34818,33960886.22,suburban 
120,3045,FISHER HEIGHTS,OTTAWA,9911.756194,3962389.999,urban
134,3046,FITZROY,OTTAWA,104146.5221,336164602.4,rural
30,3047,GLEBE-DOWS LAKE,OTTAWA,10740.33617,6120739.792,urban
7,3048,GLEN CAIRN,OTTAWA,15162.94755,9600679.674,suburban 
104,3049,GREELY,OTTAWA,54719.86279,138476531,rural
139,3050,GREENBELT (EAST),OTTAWA,103706.7647,167672363.7,suburban 
94,3051,GREENBELT (WEST),OTTAWA,109338.5959,159370329.2,suburban 
87,3052,GREENBORO EAST,OTTAWA,7232.452251,3098945.761,suburban 
13,3053,GREENBORO WEST,OTTAWA,7153.081299,2560947.483,suburban 
92,3054,HAWTHORN MEADOWS - SHEFFIELD GLEN,OTTAWA,6624.013892,2515389.134,urban
59,3055,HINTONBURG-MECHANICSVILLE,OTTAWA,9249.330138,3469510.53,urban
