DAUID,ONS_ID
35060001,3037
35060002,3037
35060003,3037
35060005,3017
35060006,3037
35060007,3091
35060010,3043
35060011,3043
35060012,3043
35060014,3043
35060015,3095
35060016,3095
35060017,3095
35060018,3095
35060019,3095
35060020,3095
35060021,3095
35060022,3095
35060023,3043
35060024,3043
35060025,3043
35060026,3043
35060027,3043
35060028,3043
35060029,3043
35060030,3043
35060031,3043
35060032,3043
35060033,3043
35060034,3043
35060035,3043
35060036,3043
35060037,3043
35060038,3043
35060039,3043
35060043,3043
35060044,3043
35060045,3043
35060047,3094
35060048,3094
35060049,3094
35060050,3094
35060051,3094
35060052,3095
35060053,3095
35060054,3095
35060055,3095
35060056,3095
35060057,3095
35060058,3095
35060059,3095
35060061,3085
35060062,3095
35060064,3095
35060065,3085
35060066,3085
35060067,3085
35060069,3085
35060070,3085
35060071,3085
35060072,3085
35060073,3085
35060074,3085
35060075,3085
35060076,3085
35060078,3025
35060079,3025
35060080,3025
35060081,3025
35060082,3025
35060083,3025
35060089,3039
35060090,3025
35060091,3025
35060092,3025
35060093,3025
35060094,3025
35060095,3025
35060096,3025
35060097,3025
35060098,3025
35060099,3025
35060100,3025
35060101,3025
35060102,3085
35060103,3085
35060104,3085
35060105,3085
35060106,3025
35060107,3025
35060108,3032
35060109,3032
35060110,3032
35060111,3032
35060112,3032
35060116,3032
35060117,3032
35060118,3032
35060119,3032
35060120,3032
35060121,3032
35060122,3032
35060123,3032
35060124,3032
35060125,3094
35060126,3032
35060127,3085
35060128,3085
35060129,3085
35060132,3032
35060133,3032
35060134,3050
35060135,3103
35060137,3103
35060138,3103
35060139,3103
35060140,3103
35060141,3103
35060143,3103
35060144,3103
35060145,3103
35060146,3103
35060147,3103
35060148,3004
35060149,3004
35060150,3004
35060151,3004
35060152,3004
35060153,3103
35060154,3103
35060155,3103
35060156,3103
35060157,3103
35060159,3004
35060163,3004
35060164,3004
35060165,3022
35060166,3022
35060167,3022
35060168,3022
35060170,3022
35060171,3022
35060172,3022
35060173,3022
35060178,3087
35060179,3087
35060180,3087
35060181,3087
35060182,3087
35060183,3087
35060184,3087
35060185,3087
35060186,3087
35060187,3087
35060188,3112
35060189,3112
35060192,3111
35060194,3111
35060195,3111
35060196,3111
35060197,3111
35060198,3111
35060199,3111
35060200,3111
35060201,3111
35060202,3111
35060205,3111
35060206,3111
35060207,3069
35060208,3111
35060209,3069
35060210,3111
35060211,3077
