Name,SF_TotalPop,SF_NIPOP,SF_PTDWELL,SF_PODWELL_UR,LF_POP_PRIV,LF_Households
Census Division - Ottawa (3506),1017450,1006965,427115,407255,1000955,407250
ONS2022 - Admaston/Bromley (3701),2995,2995,1305,1140,2995,1140
ONS2022 - AIRPORT (3001),315,315,130,120,290,125
ONS2022 - Akwesasne (Part) 59 (3801),0,0,0,0,0,0
ONS2022 - Alfred and Plantagenet (3601),9950,9855,4295,4080,9650,4080
ONS2022 - ALTA VISTA (3002),7765,7745,3190,3055,7775,3055
ONS2022 - Arnprior (3702),9630,9550,4460,4305,9415,4305
ONS2022 - BAYSHORE (3003),14340,14315,6000,5745,14255,5745
ONS2022 - BEACON HILL SOUTH - CARDINAL HEIGHTS (3004),7745,7735,3320,3220,7700,3220
ONS2022 - BEAVERBROOK (3005),6680,6675,2835,2785,6780,2785
ONS2022 - Beckwith (3401),9215,9215,3595,3440,9265,3445
ONS2022 - BEECHWOOD CEMETERY (3006),0,0,0,10,10,10
ONS2022 - BELLS CORNERS EAST (3007),5220,4990,2140,2095,5005,2095
ONS2022 - BELLS CORNERS WEST (3008),4330,4220,1890,1850,4155,1845
ONS2022 - BILLINGS BRIDGE - HERON PARK (3009),6065,6065,3325,2975,5870,2980
ONS2022 - BLACKBURN HAMLET (3010),8255,8220,3230,3170,8040,3175
ONS2022 - BLOSSOM PARK - TIMBERMILL (3011),9130,9130,3285,3215,9290,3210
ONS2022 - Bonnechere Valley (3703),3895,3900,2320,1735,3850,1735
ONS2022 - BORDEN FARM - FISHER GLEN (3012),8550,8550,3875,3765,8200,3765
ONS2022 - BRAEMAR PARK-BELAIR HEIGHTS-COPELAND PARK (3013),9085,8940,4080,3910,8975,3910
ONS2022 - BRIDLEWOOD - EMERALD MEADOWS (3014),25825,25820,9035,8930,25705,8930
ONS2022 - BRITANNIA (3015),8570,8550,4645,4405,8440,4405
ONS2022 - BROOKSIDE - BRIARBROOK - MORGANS GRANT (3016),15525,15515,5040,4950,15475,4950
"ONS2022 - Brudenell, Lyndoch and Raglan (3704)",1555,1555,1000,695,1550,695
ONS2022 - CARDINAL CREEK (3017),13010,13010,4640,4475,12910,4475
ONS2022 - CARLETON HEIGHTS-COURTLAND PARK (3018),8250,8245,3895,3645,8190,3640
ONS2022 - Carleton Place (3402),12325,12175,5270,5140,12005,5140
ONS2022 - CARLETON UNIVERSITY (3019),10,10,0,0,0,0
ONS2022 - CARLINGTON (3020),16085,15625,7555,7125,15655,7120
ONS2022 - CARP (3021),6415,6345,2275,2225,6335,2225
ONS2022 - CARSON GROVE - CARSON MEADOWS (3022),10635,10565,4795,4620,10315,4620
ONS2022 - Casselman (3602),3960,3925,1630,1575,3785,1580
ONS2022 - CENTREPOINTE - BRIARGREEN (3023),9260,9095,3700,3580,9100,3580
ONS2022 - CENTRETOWN (3024),31890,31640,22810,20330,31355,20335
ONS2022 - Champlain (3603),8665,8605,3965,3750,8545,3750
ONS2022 - CHAPEL HILL NORTH (3025),11785,11780,4440,4380,11755,4385
ONS2022 - CHAPEL HILL SOUTH (3026),14425,14270,4965,4860,14245,4860
ONS2022 - CHAPMAN MILLS (3027),12075,11920,3755,3705,12205,3705
ONS2022 - CITY VIEW (3028),6645,6395,2600,2400,6320,2400
ONS2022 - CIVIC HOSPITAL (3029),5760,5675,2695,2535,5575,2535
ONS2022 - Clarence-Rockland (3604),26505,26150,10315,10095,25955,10095
ONS2022 - COLONNADE BUSINESS PARK (3030),20,20,0,0,30,0
ONS2022 - CONSTANCE BAY (3031),2290,2290,1115,995,2200,995
ONS2022 - CONVENT GLEN - ORLEANS WOODS (3032),14770,14535,5920,5840,14395,5840
ONS2022 - CORKERY (3033),3810,3810,1315,1295,3830,1295
ONS2022 - Cornwall (3802),47850,46905,22215,21390,46340,21390
ONS2022 - CRAIG HENRY - MANORDALE (3034),8760,8755,3225,3130,8670,3125
ONS2022 - CRESTVIEW-TANGLEWOOD (3035),8305,8280,3240,3140,8275,3145
ONS2022 - CRYSTAL BAY - LAKEVIEW PARK (3036),3940,3940,1645,1595,3965,1600
ONS2022 - CUMBERLAND (3037),4600,4540,1660,1625,4410,1625
ONS2022 - Deep River (3705),4175,4140,1985,1865,4125,1870
ONS2022 - Drummond/North Elmsley (3403),8185,8130,3705,3285,8130,3285
ONS2022 - DUNROBIN (3038),5655,5650,2085,2000,5755,2000
ONS2022 - East Hawkesbury (3605),3405,3405,1500,1420,3365,1420
ONS2022 - EDWARDS - CARLSBAD SPRINGS (3039),3050,3050,1280,1235,2950,1240
ONS2022 - ELMVALE - CANTERBURY (3040),8155,8145,3645,3565,8175,3570
ONS2022 - EMERALD WOODS - SAWMILL CREEK (3041),5800,5795,2180,2110,5610,2105
ONS2022 - EXPERIMENTAL FARM (3042),10,10,0,0,10,0
ONS2022 - FALLINGBROOK (3043),18010,17990,6565,6485,18030,6485
ONS2022 - FINDLAY CREEK (3044),14280,14270,4470,4380,14240,4380
ONS2022 - FISHER HEIGHTS (3045),4535,4405,1770,1710,4380,1715
ONS2022 - FITZROY (3046),3920,3920,1695,1585,3985,1580
ONS2022 - GLEBE-DOWS LAKE (3047),13565,13260,6885,6390,13250,6395
ONS2022 - GLEN CAIRN (3048),12540,12335,4785,4705,12270,4705
ONS2022 - Greater Madawaska (3706),2855,2860,2250,1340,2815,1340
ONS2022 - GREELY (3049),10610,10530,3620,3565,10540,3565
ONS2022 - GREENBELT (EAST) (3050),1165,445,140,135,270,135
ONS2022 - GREENBELT (WEST) (3051),160,140,55,55,145,55
